Name,Age,Gender,Race,Occupation
Sarod Deathsong,56,male,orc,boatman
Hisni Gadri,268,male,forest gnome,farmer
Godiva Redstream,53,female,half-elf,bard
Pritra Trimyra,269,female,forest gnome,fisherwoman
Elered Talraidal,159,male,firblog,blacksmith
Iming Yraudhen,80,female,half-elf,barber
Eddanyn Jubelath,40,female,triton,leatherworker
Zane Rowntree,36,male,human,slaver
Favian deGrey,47,male,human,bandit
Tharkar Reddigger,167,female,dwarf,miner
Fendrel Fenwick,38,male,human,blacksmith
Gregory Bladewalker,80,male,human,artificier
Gamah Hardcloak,69,male,hill dwarf,farmer
Eliose Cornwallis,38,female,half-elf,squire
Woglug Tuskwolf,75,male,half-orc,druid
Serode Nellynnthar,156,female,high elf,fisherwoman
Celenwe Bertanonel,253,male,drow,acrobat
Adriel Birdiir,149,female,wood elf,ranger
Wixlee ,70,male,goblin,rogue
Selmyn Yoxis,226,female,rock gnome,barbarian
